fecha;hora;tecnologia;value
2022-01-15;9;HI;223.76
2022-01-15;10;HI;225.76
2022-01-15;11;RE;222.39
2022-01-15;12;HI;214.92
2022-01-15;13;HI;208.43
2022-01-15;14;BG;200.0
2022-01-15;15;HI;203.09
2022-01-15;16;HI;213.98
2022-01-15;17;HI;218.63
2022-01-15;18;HI;231.67
2022-01-15;19;BG;267.03
2022-01-15;20;HI;261.41
2022-01-15;21;HI;243.62
2022-01-15;22;HI;227.85
2022-01-15;23;TCC;222.66
2022-01-15;24;TCC;217.0
2022-01-16;1;HI;225.92
2022-01-16;2;HI;216.0
2022-01-16;3;TCC;207.62
2022-01-16;4;HI;197.22
2022-01-16;5;RE;186.7
2022-01-16;6;RE;186.6
2022-01-16;7;HI;198.01
2022-01-16;8;RE;200.03
2022-01-16;9;RE;200.0
2022-01-16;10;TCC;204.86
2022-01-16;11;TCC;204.5
2022-01-16;12;TCC;204.43
2022-01-16;13;RE;205.21
2022-01-16;14;HI;195.02
2022-01-16;15;TCC;191.9
2022-01-16;16;HI;196.92
2022-01-16;17;TCC;201.02
2022-01-16;18;HI;222.87
2022-01-16;19;HI;257.45
2022-01-16;20;BG;265.36
2022-01-16;21;HI;257.13
2022-01-16;22;HI;248.2
2022-01-16;23;HI;228.52
2022-01-16;24;HI;212.82
2022-01-17;1;HI;252.53
2022-01-17;2;HI;242.23
2022-01-17;3;RE;232.25
2022-01-17;4;HI;215.01
2022-01-17;5;RE;209.55
2022-01-17;6;TCC;222.78
2022-01-17;7;RE;249.93
2022-01-17;8;HI;272.52
2022-01-17;9;BG;264.36
2022-01-17;10;HI;253.83
2022-01-17;11;HI;241.11
2022-01-17;12;HI;235.63
2022-01-17;13;HI;235.63
2022-01-17;14;HI;235.16
2022-01-17;15;HI;234.03
2022-01-17;16;HI;229.11
2022-01-17;17;HI;235.01
2022-01-17;18;TCC;248.63
2022-01-17;19;HI;264.21
2022-01-17;20;BG;285.68
2022-01-17;21;HI;277.01
2022-01-17;22;HI;257.64
2022-01-17;23;BG;248.63
2022-01-17;24;HI;229.6
2022-01-18;1;HI;213.9
2022-01-18;2;TCC;203.27
2022-01-18;3;HI;200.48
2022-01-18;4;TCC;194.52
2022-01-18;5;TCC;193.99
2022-01-18;6;HI;205.0
2022-01-18;7;HI;223.94
2022-01-18;8;HI;227.84
2022-01-18;9;TCC;235.42
2022-01-18;10;HI;231.78
